Flow Number,Max Bytes Sent,Avg Send Rate (bps),Avg Delivery Rate (bps),Avg RTT (ms),P99 RTT (ms),Jain Fairness Index
Flow 1,18123887693.0,1025519143.8403261,974575598.3611774,42.632801948697555,48.309760000000004,0.9796733751107585
Flow 2,13737966645.0,774999842.0335917,738884102.5510935,43.69938878950507,49.326699999999995,0.9796733751107585
Flow 3,15681493965.0,883299512.7901014,844441308.090656,43.804090439276486,49.3349,0.9796733751107585
Flow 4,20198841285.0,1138860929.6728284,1086217503.2748957,42.724549791293974,48.3292,0.9796733751107585
Flow 5,20072887005.0,1134790972.412279,1079944843.4149444,42.61838426385853,48.20208,0.9796733751107585
