timestamp,rtt,rtt_var,cwnd,ssthresh,bytes_sent,pacing_rate,retrans
0,0.606,0.281,13,N/A,165,490448976,N/A
0.280585,0.606,0.281,13,N/A,165,490448976,N/A
0.581163,0.606,0.281,13,N/A,165,490448976,N/A
0.852031,0.606,0.281,13,N/A,165,490448976,N/A
1.14938,0.606,0.281,13,N/A,165,490448976,N/A
1.42882,0.606,0.281,13,N/A,165,490448976,N/A
1.70817,0.606,0.281,13,N/A,165,490448976,N/A
1.99399,0.606,0.281,13,N/A,165,490448976,N/A
2.27669,0.606,0.281,13,N/A,165,490448976,N/A
2.59482,0.606,0.281,13,N/A,165,490448976,N/A
2.88645,0.606,0.281,13,N/A,165,490448976,N/A
3.16299,0.606,0.281,13,N/A,165,490448976,N/A
3.43663,0.606,0.281,13,N/A,165,490448976,N/A
3.71287,0.606,0.281,13,N/A,165,490448976,N/A
3.99088,0.606,0.281,13,N/A,165,490448976,N/A
4.31198,0.606,0.281,13,N/A,165,490448976,N/A
4.5664,0.606,0.281,13,N/A,165,490448976,N/A
4.83851,0.606,0.281,13,N/A,165,490448976,N/A
5.11047,0.606,0.281,13,N/A,165,490448976,N/A
5.39226,0.606,0.281,13,N/A,165,490448976,N/A
5.64925,0.606,0.281,13,N/A,165,490448976,N/A
5.93085,0.606,0.281,13,N/A,165,490448976,N/A
6.19284,0.606,0.281,13,N/A,165,490448976,N/A
6.46477,0.606,0.281,13,N/A,165,490448976,N/A
6.74762,0.606,0.281,13,N/A,165,490448976,N/A
7.025,0.606,0.281,13,N/A,165,490448976,N/A
7.29847,0.606,0.281,13,N/A,165,490448976,N/A
7.56965,0.606,0.281,13,N/A,165,490448976,N/A
7.84938,0.606,0.281,13,N/A,165,490448976,N/A
8.12624,0.606,0.281,13,N/A,165,490448976,N/A
8.40051,0.606,0.281,13,N/A,165,490448976,N/A
8.67093,0.606,0.281,13,N/A,165,490448976,N/A
8.95657,0.606,0.281,13,N/A,165,490448976,N/A
9.2787,0.606,0.281,13,N/A,165,490448976,N/A
9.55927,0.606,0.281,13,N/A,165,490448976,N/A
9.81518,0.606,0.281,13,N/A,165,490448976,N/A
10.0939,0.606,0.281,13,N/A,165,490448976,N/A
10.3678,0.606,0.281,13,N/A,165,490448976,N/A
10.64,0.606,0.281,13,N/A,165,490448976,N/A
10.9385,0.606,0.281,13,N/A,165,490448976,N/A
11.2187,0.606,0.281,13,N/A,165,490448976,N/A
11.5044,0.606,0.281,13,N/A,165,490448976,N/A
11.8084,0.606,0.281,13,N/A,165,490448976,N/A
12.0748,0.606,0.281,13,N/A,165,490448976,N/A
12.3893,0.606,0.281,13,N/A,165,490448976,N/A
12.6726,0.606,0.281,13,N/A,165,490448976,N/A
12.9457,0.606,0.281,13,N/A,165,490448976,N/A
13.2464,0.606,0.281,13,N/A,165,490448976,N/A
13.5304,0.606,0.281,13,N/A,165,490448976,N/A
13.8006,0.606,0.281,13,N/A,165,490448976,N/A
14.0761,0.606,0.281,13,N/A,165,490448976,N/A
14.3756,0.606,0.281,13,N/A,165,490448976,N/A
14.6565,0.606,0.281,13,N/A,165,490448976,N/A
14.9233,0.606,0.281,13,N/A,165,490448976,N/A
15.1857,0.606,0.281,13,N/A,165,490448976,N/A
15.4552,0.606,0.281,13,N/A,165,490448976,N/A
15.724,0.606,0.281,13,N/A,165,490448976,N/A
16.0035,0.606,0.281,13,N/A,165,490448976,N/A
16.2843,0.606,0.281,13,N/A,165,490448976,N/A
16.5603,0.606,0.281,13,N/A,165,490448976,N/A
16.8784,0.606,0.281,13,N/A,165,490448976,N/A
17.197,0.606,0.281,13,N/A,165,490448976,N/A
17.4783,0.606,0.281,13,N/A,165,490448976,N/A
17.7474,0.606,0.281,13,N/A,165,490448976,N/A
18.0206,0.606,0.281,13,N/A,165,490448976,N/A
18.2884,0.606,0.281,13,N/A,165,490448976,N/A
18.5791,0.606,0.281,13,N/A,165,490448976,N/A
18.9046,0.606,0.281,13,N/A,165,490448976,N/A
19.1834,0.606,0.281,13,N/A,165,490448976,N/A
19.4705,0.606,0.281,13,N/A,165,490448976,N/A
19.7529,0.606,0.281,13,N/A,165,490448976,N/A
20.0206,0.606,0.281,13,N/A,165,490448976,N/A
20.2911,0.606,0.281,13,N/A,165,490448976,N/A
20.5355,0.606,0.281,13,N/A,165,490448976,N/A
20.8181,0.606,0.281,13,N/A,165,490448976,N/A
21.087,0.606,0.281,13,N/A,165,490448976,N/A
21.3642,0.606,0.281,13,N/A,165,490448976,N/A
21.6394,0.606,0.281,13,N/A,165,490448976,N/A
21.9214,0.606,0.281,13,N/A,165,490448976,N/A
22.1996,0.606,0.281,13,N/A,165,490448976,N/A
22.4586,0.606,0.281,13,N/A,165,490448976,N/A
22.7003,0.606,0.281,13,N/A,165,490448976,N/A
22.9688,0.606,0.281,13,N/A,165,490448976,N/A
23.2455,0.606,0.281,13,N/A,165,490448976,N/A
23.5205,0.606,0.281,13,N/A,165,490448976,N/A
23.7957,0.606,0.281,13,N/A,165,490448976,N/A
24.0783,0.606,0.281,13,N/A,165,490448976,N/A
24.3488,0.606,0.281,13,N/A,165,490448976,N/A
24.6419,0.606,0.281,13,N/A,165,490448976,N/A
24.8988,0.606,0.281,13,N/A,165,490448976,N/A
25.1817,0.606,0.281,13,N/A,165,490448976,N/A
25.449,0.606,0.281,13,N/A,165,490448976,N/A
25.7249,0.606,0.281,13,N/A,165,490448976,N/A
26.0055,0.606,0.281,13,N/A,165,490448976,N/A
26.2672,0.606,0.281,13,N/A,165,490448976,N/A
26.5299,0.606,0.281,13,N/A,165,490448976,N/A
26.8033,0.606,0.281,13,N/A,165,490448976,N/A
27.083,0.606,0.281,13,N/A,165,490448976,N/A
27.3452,0.606,0.281,13,N/A,165,490448976,N/A
27.6377,0.606,0.281,13,N/A,165,490448976,N/A
27.9149,0.606,0.281,13,N/A,165,490448976,N/A
28.1902,0.606,0.281,13,N/A,165,490448976,N/A
28.4674,0.606,0.281,13,N/A,165,490448976,N/A
28.7633,0.606,0.281,13,N/A,165,490448976,N/A
29.0726,0.606,0.281,13,N/A,165,490448976,N/A
29.3307,0.606,0.281,13,N/A,165,490448976,N/A
29.6175,0.606,0.281,13,N/A,165,490448976,N/A
