Flow Number,Max Bytes Sent,Avg Send Rate (bps),Avg Delivery Rate (bps),Avg RTT (ms),P99 RTT (ms),Jain Fairness Index
Flow 1,19642961325.0,1112610803.8357635,1056457205.8610492,42.45264783313082,48.133630000000004,0.9772192856916817
Flow 2,14255402205.0,805815933.1057322,767187820.9837925,43.898002633178045,49.54092,0.9772192856916817
Flow 3,14304288133.0,810411590.0496153,771615018.9151306,43.845101458080194,49.61986,0.9772192856916817
Flow 4,20191876405.0,1140613092.0686374,1085976859.8250303,42.59249706418303,48.24272,0.9772192856916817
Flow 5,19408257901.0,1095193856.7477715,1043173913.1574469,42.551035858995135,48.22555,0.9772192856916817
