Flow Number,Max Bytes Sent,Avg Send Rate (bps),Avg Delivery Rate (bps),Avg RTT (ms),P99 RTT (ms),Jain Fairness Index
Flow 1,19298196869.0,1032980337.308208,1021828620.2308005,37.46144494108086,79.75370000000001,0.9796205254506438
Flow 2,17321576957.0,935037535.0,925411090.0162469,37.40450416243655,79.94676000000003,0.9796205254506438
Flow 3,17731164029.0,953312716.0030469,943778408.9817147,37.41835263050985,79.89414000000001,0.9796205254506438
Flow 4,13609398725.0,733127204.1896832,724624331.903311,38.63608753046304,80.60293,0.9796205254506438
Flow 5,21528019853.0,1157207292.2105584,1143299441.302741,38.65628467005076,80.63836000000002,0.9796205254506438
