Flow Number,Max Bytes Sent,Avg Send Rate (bps),Avg Delivery Rate (bps),Avg RTT (ms),P99 RTT (ms),Jain Fairness Index
Flow 1,20688583845.0,1170035890.6839433,1114329026.2446043,42.61721578167971,48.52774,0.9609704410674312
Flow 2,19871771389.0,1122944476.1013541,1069936974.5168254,42.67325327972915,48.56425,0.9609704410674312
Flow 3,13247901181.0,745074599.036802,711862322.3727523,44.1241546108291,49.830949999999994,0.9609704410674312
Flow 4,20696620245.0,1167124703.8652706,1114026197.5651438,42.60456725888324,48.58651999999999,0.9609704410674312
Flow 5,13311613181.0,749279306.5472616,715933832.6159053,44.13509515753859,49.80632000000001,0.9609704410674312
