Flow Number,Max Bytes Sent,Avg Send Rate (bps),Avg Delivery Rate (bps),Avg RTT (ms),P99 RTT (ms),Jain Fairness Index
Flow 1,16873603337.0,917676204.5804485,941711587.4404879,309.983596577498,365.463,0.96116915050923
Flow 2,18430069625.0,993217447.4168305,1051878448.500295,309.83886118757374,364.05559999999997,0.96116915050923
Flow 3,11921175561.0,634836485.2857424,628412869.8741149,309.6344009832842,364.91,0.96116915050923
Flow 4,22225880529.0,1219015173.0456154,1484944600.7959104,309.7421822650413,365.0163,0.96116915050923
Flow 5,20063089445.0,1079538922.6225674,1111996829.2300432,309.01455710634957,364.3388,0.96116915050923
