Flow Number,Max Bytes Sent,Avg Send Rate (bps),Avg Delivery Rate (bps),Avg RTT (ms),P99 RTT (ms),Jain Fairness Index
Flow 1,14954752901.0,800920936.7015815,786163927.4561511,29.302183405216674,141.14287999999954,0.9336280454285079
Flow 2,19005458405.0,1000539406.9893202,983765873.2818406,29.669801191209693,141.283,0.9336280454285079
Flow 3,15675707757.0,848694988.6365317,834018610.9806823,29.249662214916786,140.17250000000013,0.9336280454285079
Flow 4,9381195285.0,508709447.77880466,499496435.6220214,29.20166995276237,139.55759999999964,0.9336280454285079
Flow 5,9577054661.0,506798004.8316222,497581772.8207024,29.22272997946612,139.09524,0.9336280454285079
