timestamp,rtt,rtt_var,cwnd,ssthresh,bytes_sent,pacing_rate,retrans
26.4339,21.468,0.566,258,231,448632989,167052408,0
26.6591,21.551,0.606,262,231,452407925,168993936,0
26.8844,21.626,0.132,268,231,456246573,172264536,0
27.1094,21.972,0.274,273,231,460557269,172711192,0
27.3354,21.989,0.127,279,231,464558093,176371592,0
27.5623,22.019,0.457,284,231,468653037,179288792,0
27.7887,21.51,0.459,289,231,472808797,186762488,0
28.0136,21.711,0.503,205,205,476903741,131253624,0
28.2385,21.996,0.048,215,205,480161741,135870336,0
28.4636,21.793,0.3,224,205,483451597,142877328,0
28.6901,21.302,0.367,232,205,486760277,151390000,0
28.9157,21.356,0.294,240,205,490196381,156212528,0
29.1407,22.083,0.312,247,205,493845341,155478840,0
29.3662,21.995,0.091,253,205,497695573,159891904,0
29.5915,21.895,0.47,258,205,501401005,163799304,0
29.8166,21.981,0.06,264,205,505183181,166949040,0
