timestamp,rtt,rtt_var,cwnd,ssthresh,bytes_sent,pacing_rate,retrans
0,0.416,0.222,10,N/A,165,556087608,N/A
0.296554,0.416,0.222,10,N/A,165,556087608,N/A
0.565786,0.416,0.222,10,N/A,165,556087608,N/A
0.86076,0.416,0.222,10,N/A,165,556087608,N/A
1.14434,0.416,0.222,10,N/A,165,556087608,N/A
1.41283,0.416,0.222,10,N/A,165,556087608,N/A
1.71717,0.416,0.222,10,N/A,165,556087608,N/A
1.99451,0.416,0.222,10,N/A,165,556087608,N/A
2.29318,0.416,0.222,10,N/A,165,556087608,N/A
2.5707,0.416,0.222,10,N/A,165,556087608,N/A
2.84992,0.416,0.222,10,N/A,165,556087608,N/A
3.12469,0.416,0.222,10,N/A,165,556087608,N/A
3.38462,0.416,0.222,10,N/A,165,556087608,N/A
3.63975,0.416,0.222,10,N/A,165,556087608,N/A
3.90985,0.416,0.222,10,N/A,165,556087608,N/A
4.18971,0.416,0.222,10,N/A,165,556087608,N/A
4.46588,0.416,0.222,10,N/A,165,556087608,N/A
4.74523,0.416,0.222,10,N/A,165,556087608,N/A
5.01973,0.416,0.222,10,N/A,165,556087608,N/A
5.31419,0.416,0.222,10,N/A,165,556087608,N/A
5.58323,0.416,0.222,10,N/A,165,556087608,N/A
5.85321,0.416,0.222,10,N/A,165,556087608,N/A
6.12005,0.416,0.222,10,N/A,165,556087608,N/A
6.39254,0.416,0.222,10,N/A,165,556087608,N/A
6.66317,0.416,0.222,10,N/A,165,556087608,N/A
6.92703,0.416,0.222,10,N/A,165,556087608,N/A
7.19606,0.416,0.222,10,N/A,165,556087608,N/A
7.46571,0.416,0.222,10,N/A,165,556087608,N/A
7.74881,0.416,0.222,10,N/A,165,556087608,N/A
8.04436,0.416,0.222,10,N/A,165,556087608,N/A
8.34602,0.416,0.222,10,N/A,165,556087608,N/A
8.66201,0.416,0.222,10,N/A,165,556087608,N/A
8.9204,0.416,0.222,10,N/A,165,556087608,N/A
9.19707,0.416,0.222,10,N/A,165,556087608,N/A
9.50222,0.416,0.222,10,N/A,165,556087608,N/A
9.77646,0.416,0.222,10,N/A,165,556087608,N/A
10.0472,0.416,0.222,10,N/A,165,556087608,N/A
10.3202,0.416,0.222,10,N/A,165,556087608,N/A
10.6332,0.416,0.222,10,N/A,165,556087608,N/A
10.9549,0.416,0.222,10,N/A,165,556087608,N/A
11.2374,0.416,0.222,10,N/A,165,556087608,N/A
11.5202,0.416,0.222,10,N/A,165,556087608,N/A
11.7924,0.416,0.222,10,N/A,165,556087608,N/A
12.0555,0.416,0.222,10,N/A,165,556087608,N/A
12.3298,0.416,0.222,10,N/A,165,556087608,N/A
12.5999,0.416,0.222,10,N/A,165,556087608,N/A
12.8667,0.416,0.222,10,N/A,165,556087608,N/A
13.1425,0.416,0.222,10,N/A,165,556087608,N/A
13.4126,0.416,0.222,10,N/A,165,556087608,N/A
13.6919,0.416,0.222,10,N/A,165,556087608,N/A
13.9635,0.416,0.222,10,N/A,165,556087608,N/A
14.2296,0.416,0.222,10,N/A,165,556087608,N/A
14.4985,0.416,0.222,10,N/A,165,556087608,N/A
14.7671,0.416,0.222,10,N/A,165,556087608,N/A
15.0568,0.416,0.222,10,N/A,165,556087608,N/A
15.329,0.416,0.222,10,N/A,165,556087608,N/A
15.6104,0.416,0.222,10,N/A,165,556087608,N/A
15.8823,0.416,0.222,10,N/A,165,556087608,N/A
16.1502,0.416,0.222,10,N/A,165,556087608,N/A
16.4352,0.416,0.222,10,N/A,165,556087608,N/A
16.7129,0.416,0.222,10,N/A,165,556087608,N/A
16.9803,0.416,0.222,10,N/A,165,556087608,N/A
17.2499,0.416,0.222,10,N/A,165,556087608,N/A
17.5217,0.416,0.222,10,N/A,165,556087608,N/A
17.7893,0.416,0.222,10,N/A,165,556087608,N/A
18.054,0.416,0.222,10,N/A,165,556087608,N/A
18.3377,0.416,0.222,10,N/A,165,556087608,N/A
18.6171,0.416,0.222,10,N/A,165,556087608,N/A
18.8934,0.416,0.222,10,N/A,165,556087608,N/A
19.1651,0.416,0.222,10,N/A,165,556087608,N/A
19.4499,0.416,0.222,10,N/A,165,556087608,N/A
19.7227,0.416,0.222,10,N/A,165,556087608,N/A
19.9995,0.416,0.222,10,N/A,165,556087608,N/A
20.304,0.416,0.222,10,N/A,165,556087608,N/A
20.6049,0.416,0.222,10,N/A,165,556087608,N/A
20.8861,0.416,0.222,10,N/A,165,556087608,N/A
21.1455,0.416,0.222,10,N/A,165,556087608,N/A
21.4038,0.416,0.222,10,N/A,165,556087608,N/A
21.6755,0.416,0.222,10,N/A,165,556087608,N/A
21.991,0.416,0.222,10,N/A,165,556087608,N/A
22.2644,0.416,0.222,10,N/A,165,556087608,N/A
22.5356,0.416,0.222,10,N/A,165,556087608,N/A
22.8171,0.416,0.222,10,N/A,165,556087608,N/A
23.0841,0.416,0.222,10,N/A,165,556087608,N/A
23.3725,0.416,0.222,10,N/A,165,556087608,N/A
23.6409,0.416,0.222,10,N/A,165,556087608,N/A
23.9248,0.416,0.222,10,N/A,165,556087608,N/A
24.1893,0.416,0.222,10,N/A,165,556087608,N/A
24.4666,0.416,0.222,10,N/A,165,556087608,N/A
24.7391,0.416,0.222,10,N/A,165,556087608,N/A
25.0148,0.416,0.222,10,N/A,165,556087608,N/A
25.2898,0.416,0.222,10,N/A,165,556087608,N/A
25.5616,0.416,0.222,10,N/A,165,556087608,N/A
25.8431,0.416,0.222,10,N/A,165,556087608,N/A
26.1195,0.416,0.222,10,N/A,165,556087608,N/A
26.3871,0.416,0.222,10,N/A,165,556087608,N/A
26.6735,0.416,0.222,10,N/A,165,556087608,N/A
26.9457,0.416,0.222,10,N/A,165,556087608,N/A
27.2085,0.416,0.222,10,N/A,165,556087608,N/A
27.4741,0.416,0.222,10,N/A,165,556087608,N/A
27.7475,0.416,0.222,10,N/A,165,556087608,N/A
28.0113,0.416,0.222,10,N/A,165,556087608,N/A
28.2738,0.416,0.222,10,N/A,165,556087608,N/A
28.5598,0.416,0.222,10,N/A,165,556087608,N/A
28.8321,0.416,0.222,10,N/A,165,556087608,N/A
29.1123,0.416,0.222,10,N/A,165,556087608,N/A
29.4082,0.416,0.222,10,N/A,165,556087608,N/A
29.6772,0.416,0.222,10,N/A,165,556087608,N/A
